Frequency (Hz)	Level (dB)
11520.263672	-70.307617
11531.030273	-68.500748
11541.796875	-66.892654
11552.563477	-66.763588
11563.330078	-64.493408
11574.096680	-65.387329
11584.863281	-69.676674
11595.629883	-69.821220
11606.396484	-68.077766
11617.163086	-68.934471
11627.929688	-69.884506
11638.696289	-69.918381
11649.462891	-65.038124
11660.229492	-67.441467
11670.996094	-67.443687
11681.762695	-67.133057
11692.529297	-66.187637
11703.295898	-66.324768
11714.062500	-71.655090
11724.829102	-69.112198
11735.595703	-67.129913
11746.362305	-72.258194
11757.128906	-68.877991
11767.895508	-71.823837
11778.662109	-70.611580
11789.428711	-66.120712
11800.195312	-68.211388
11810.961914	-69.120880
11821.728516	-67.540527
11832.495117	-69.378891
11843.261719	-71.915871
11854.028320	-67.942863
11864.794922	-65.714615
11875.561523	-70.868187
11886.328125	-73.141205
11897.094727	-68.990211
11907.861328	-67.030235
11918.627930	-66.118973
11929.394531	-65.819328
11940.161133	-64.658691
11950.927734	-67.876022
11961.694336	-68.695770
11972.460938	-67.683105
11983.227539	-74.775879
11993.994141	-69.198105
12004.760742	-65.072777
12015.527344	-68.585670
12026.293945	-70.365524
12037.060547	-69.230576
12047.827148	-69.983345
12058.593750	-70.152695
12069.360352	-71.598389
12080.126953	-71.281090
12090.893555	-69.055481
12101.660156	-69.125778
12112.426758	-67.303047
12123.193359	-67.162758
12133.959961	-70.362083
12144.726562	-75.333977
12155.493164	-69.156670
12166.259766	-71.758972
12177.026367	-68.721024
12187.792969	-69.937042
12198.559570	-69.814201
12209.326172	-67.449982
12220.092773	-66.643967
12230.859375	-67.751213
12241.625977	-65.928734
12252.392578	-67.990578
12263.159180	-68.128319
12273.925781	-69.928406
12284.692383	-66.154312
12295.458984	-68.643509
12306.225586	-66.638260
12316.992188	-69.486847
12327.758789	-70.530052
12338.525391	-67.642410
12349.291992	-68.096870
12360.058594	-65.873718
12370.825195	-66.757576
12381.591797	-71.970932
12392.358398	-72.195526
12403.125000	-68.722481
12413.891602	-63.724514
12424.658203	-64.652420
12435.424805	-68.391556
12446.191406	-71.176559
12456.958008	-72.341179
12467.724609	-69.162430
12478.491211	-68.003700
12489.257812	-78.398193
12500.024414	-68.999039
12510.791016	-68.028656
12521.557617	-70.430916
12532.324219	-72.901581
12543.090820	-70.038757
12553.857422	-68.492966
12564.624023	-66.508904
12575.390625	-66.953690
